,mem,page,total
1,12640,345364,1385232
2,12640,345668,1386036
3,12640,346848,1388328
4,12640,447916,1390652
5,12640,557896,1597968
6,12640,557916,1598024
7,12640,557916,1597504
8,12640,557916,1598056
9,12640,557924,1597504
10,12640,557940,1597992
11,12640,557956,1598024
12,12640,557972,1598560
13,12640,559876,1599932
14,12640,559968,1600144
15,12640,559992,1600728
17,12640,559992,1601216
18,12640,559992,1600924
19,12640,559992,1600924
20,12640,560008,1601136
21,12640,560020,1601648
22,12640,560020,1601648
23,12640,560020,1600828
24,12640,560016,1601404
25,12640,560220,1601160
26,12640,560228,1601080
27,12640,560228,1600544
28,12640,560228,1601192
29,12640,560228,1601152
30,12640,560228,1601656
31,12640,560244,1601664
32,12640,560244,1601452
33,12640,560244,1601096
34,12640,560152,1601480
35,12640,560196,1600496
36,12640,560200,1599692
37,12640,560200,1599708
38,12640,560200,1600504
39,12640,560200,1600276
40,12640,560208,1599952
41,12640,560208,1600000
42,12640,560208,1599936
43,12640,560208,1599700
44,12640,560208,1600520
45,12640,560216,1600724
46,12640,560216,1601236
47,12640,560220,1601016
48,12640,560360,1600764
49,12640,560368,1600812
50,12640,560368,1601064
51,12640,560368,1600536
52,12640,560368,1600324
53,12640,560368,1600624
54,12640,560376,1600576
55,12640,560376,1599852
56,12640,560376,1600168
57,12640,560688,1600876
58,12640,560688,1601144
